credit_id,customer_id,as_of_date,credit_score,num_open_accounts,num_credit_inquiries_6m,credit_utilization_ratio,num_late_payments_30d,num_late_payments_90d,num_defaults_prior,bankruptcies,total_credit_limit,total_outstanding_debt,oldest_account_age_months
CR500001,CUST100001,2024-06-30,631,4,1,0.707,2,0,0,0,184000,130100,6
CR500002,CUST100002,2024-06-30,429,5,1,0.748,3,2,1,1,58000,43400,66
CR500003,CUST100003,2024-06-30,503,2,4,0.658,2,2,0,0,128000,84200,30
CR500004,CUST100004,2024-06-30,576,5,4,0.373,0,0,0,0,218000,81300,344
CR500005,CUST100005,2024-06-30,681,6,1,0.155,1,1,0,0,91000,14100,105
CR500006,CUST100006,2024-06-30,701,6,0,0.583,0,0,0,0,413000,240800,340
CR500007,CUST100007,2024-06-30,669,2,1,0.511,0,0,0,0,156000,79700,68
CR500008,CUST100008,2024-06-30,657,3,0,0.227,0,0,0,0,648000,147100,6
CR500009,CUST100009,2024-06-30,553,4,3,0.642,0,0,1,0,229000,147000,75
CR500010,CUST100010,2024-06-30,676,1,2,0.316,1,0,0,0,586000,185200,193
CR500011,CUST100011,2024-06-30,618,7,1,0.417,4,0,0,0,417000,173900,182
CR500012,CUST100012,2024-06-30,548,2,5,0.39,0,0,0,0,129000,50300,234
CR500013,CUST100013,2024-06-30,693,6,3,0.122,1,0,0,0,85000,10400,92
CR500014,CUST100014,2024-06-30,452,3,4,0.465,3,2,0,0,118000,54900,6
CR500015,CUST100015,2024-06-30,588,7,2,0.386,2,0,0,0,188000,72600,27
CR500016,CUST100016,2024-06-30,621,4,1,0.599,4,1,0,0,216000,129400,132
CR500017,CUST100017,2024-06-30,618,4,2,0.077,2,0,0,0,71000,5500,8
CR500018,CUST100018,2024-06-30,738,4,2,0.228,0,0,0,0,1015000,231400,406
CR500019,CUST100019,2024-06-30,722,6,1,0.29,0,0,0,0,278000,80600,328
CR500020,CUST100020,2024-06-30,631,3,3,0.467,4,0,0,0,257000,120000,178
CR500021,CUST100021,2024-06-30,736,3,0,0.427,0,0,0,0,474000,202400,284
CR500022,CUST100022,2024-06-30,504,4,3,0.603,3,3,0,0,96000,57900,134
CR500023,CUST100023,2024-06-30,613,5,2,0.446,1,0,0,0,174000,77600,365
CR500024,CUST100024,2024-06-30,686,3,0,0.183,0,0,0,0,329000,60200,186
CR500025,CUST100025,2024-06-30,597,4,1,0.205,5,1,0,0,130000,26600,68
CR500026,CUST100026,2024-06-30,767,5,1,0.85,0,0,0,0,1082000,919700,376
CR500027,CUST100027,2024-06-30,621,5,2,0.159,2,1,0,0,325000,51700,195
CR500028,CUST100028,2024-06-30,642,1,0,0.646,0,0,0,0,68000,43900,171
CR500029,CUST100029,2024-06-30,709,7,1,0.518,0,0,0,0,377000,195300,110
CR500030,CUST100030,2024-06-30,566,1,0,0.747,2,1,0,0,274000,204700,222
CR500031,CUST100031,2024-06-30,714,3,2,0.642,1,0,0,0,433000,278000,289
CR500032,CUST100032,2024-06-30,758,4,2,0.34,0,0,0,0,613000,208400,249
CR500033,CUST100033,2024-06-30,663,0,1,0.251,0,0,0,0,233000,58500,115
CR500034,CUST100034,2024-06-30,649,4,0,0.641,1,0,0,0,266000,170500,6
CR500035,CUST100035,2024-06-30,416,3,1,0.274,2,2,2,0,37000,10100,423
CR500036,CUST100036,2024-06-30,589,3,4,0.154,4,0,0,0,353000,54400,141
CR500037,CUST100037,2024-06-30,724,4,1,0.103,1,0,0,0,281000,28900,266
CR500038,CUST100038,2024-06-30,570,2,0,0.63,1,1,0,0,165000,104000,285
CR500039,CUST100039,2024-06-30,578,6,2,0.196,2,0,0,0,115000,22500,7
CR500040,CUST100040,2024-06-30,568,0,1,0.131,1,1,0,0,160000,21000,340
CR500041,CUST100041,2024-06-30,522,2,2,0.64,1,0,0,0,82000,52500,287
CR500042,CUST100042,2024-06-30,634,5,2,0.405,1,0,0,0,330000,133600,125
CR500043,CUST100043,2024-06-30,698,1,1,0.159,0,0,0,0,191000,30400,127
CR500044,CUST100044,2024-06-30,655,7,2,0.616,1,0,0,0,703000,433000,220
CR500045,CUST100045,2024-06-30,817,5,1,0.178,0,0,0,0,403000,71700,273
CR500046,CUST100046,2024-06-30,485,3,3,0.495,2,0,0,0,114000,56400,31
CR500047,CUST100047,2024-06-30,665,1,3,0.211,0,0,0,0,173000,36500,6
CR500048,CUST100048,2024-06-30,629,2,0,0.237,3,0,0,0,538000,127500,249
CR500049,CUST100049,2024-06-30,679,4,1,0.496,0,0,0,0,62000,30800,480
CR500050,CUST100050,2024-06-30,550,5,4,0.363,2,2,1,0,74000,26900,262
CR500051,CUST100051,2024-06-30,814,1,1,0.038,0,0,0,0,817000,31000,162
CR500052,CUST100052,2024-06-30,514,5,4,0.715,3,0,1,0,94000,67200,334
CR500053,CUST100053,2024-06-30,531,0,3,0.453,2,0,1,0,146000,66100,146
CR500054,CUST100054,2024-06-30,687,3,6,0.501,0,0,0,0,401000,200900,140
CR500055,CUST100055,2024-06-30,698,8,0,0.199,0,0,0,0,286000,56900,176
CR500056,CUST100056,2024-06-30,643,2,0,0.503,4,0,0,0,270000,135800,12
CR500057,CUST100057,2024-06-30,587,2,2,0.514,3,0,0,0,137000,70400,358
CR500058,CUST100058,2024-06-30,853,9,3,0.14,0,0,0,0,2853000,399400,139
CR500059,CUST100059,2024-06-30,721,6,1,0.348,0,0,0,0,234000,81400,182
CR500060,CUST100060,2024-06-30,668,7,1,0.492,0,0,0,0,206000,101400,249
CR500061,CUST100061,2024-06-30,820,3,0,0.053,0,0,0,0,355000,18800,332
CR500062,CUST100062,2024-06-30,799,4,2,0.28,1,0,0,0,612000,171400,270
CR500063,CUST100063,2024-06-30,710,5,1,0.419,0,0,0,0,248000,103900,433
CR500064,CUST100064,2024-06-30,577,8,2,0.285,1,1,0,0,245000,69800,20
CR500065,CUST100065,2024-06-30,790,4,2,0.506,0,0,0,0,619000,313200,6
CR500066,CUST100066,2024-06-30,632,2,1,0.136,2,0,0,0,351000,47700,352
CR500067,CUST100067,2024-06-30,716,4,0,0.362,2,2,0,0,366000,132500,56
CR500068,CUST100068,2024-06-30,660,3,3,0.475,0,0,0,0,598000,284000,277
CR500069,CUST100069,2024-06-30,520,5,3,0.648,1,1,0,0,48000,31100,6
CR500070,CUST100070,2024-06-30,699,2,0,0.406,0,0,0,0,447000,181500,321
CR500071,CUST100071,2024-06-30,790,2,0,0.36,1,0,0,0,1672000,601900,221
CR500072,CUST100072,2024-06-30,600,7,2,0.19,4,0,0,0,326000,61900,205
CR500073,CUST100073,2024-06-30,546,2,4,0.641,1,0,1,0,127000,81400,332
CR500074,CUST100074,2024-06-30,635,4,0,0.643,6,0,0,0,740000,475800,372
CR500075,CUST100075,2024-06-30,649,6,0,0.177,1,0,0,0,119000,21100,24
CR500076,CUST100076,2024-06-30,711,8,1,0.696,0,0,1,0,193000,134300,116
CR500077,CUST100077,2024-06-30,540,4,2,0.342,1,1,0,0,159000,54400,67
CR500078,CUST100078,2024-06-30,647,4,0,0.593,2,0,0,0,154000,91300,131
CR500079,CUST100079,2024-06-30,655,4,1,0.192,1,0,0,0,261000,50100,269
CR500080,CUST100080,2024-06-30,564,2,2,0.519,1,1,0,0,99000,51400,77
CR500081,CUST100081,2024-06-30,682,4,2,0.437,1,0,0,0,722000,315500,185
CR500082,CUST100082,2024-06-30,541,4,3,0.386,3,0,1,0,133000,51300,299
CR500083,CUST100083,2024-06-30,733,5,1,0.569,0,0,0,0,281000,159900,260
CR500084,CUST100084,2024-06-30,490,0,3,0.705,0,0,2,0,277000,195300,167
CR500085,CUST100085,2024-06-30,546,2,3,0.291,4,0,2,0,210000,61100,136
CR500086,CUST100086,2024-06-30,598,2,5,0.239,2,0,0,0,61000,14600,169
CR500087,CUST100087,2024-06-30,557,0,3,0.583,1,1,1,0,339000,197600,314
CR500088,CUST100088,2024-06-30,784,4,1,0.22,0,0,0,0,610000,134200,383
CR500089,CUST100089,2024-06-30,472,0,0,0.183,3,1,1,0,57000,10400,99
CR500090,CUST100090,2024-06-30,655,5,1,0.323,0,0,1,0,174000,56200,171
CR500091,CUST100091,2024-06-30,633,5,1,0.203,2,0,1,0,314000,63700,179
CR500092,CUST100092,2024-06-30,669,4,0,0.251,0,0,0,0,130000,32600,85
CR500093,CUST100093,2024-06-30,683,3,1,0.403,0,0,0,0,242000,97500,246
CR500094,CUST100094,2024-06-30,625,2,2,0.574,3,0,0,0,273000,156700,176
CR500095,CUST100095,2024-06-30,765,9,0,0.028,1,0,0,0,234000,6600,68
CR500096,CUST100096,2024-06-30,834,4,3,0.134,0,0,0,0,3651000,489200,163
CR500097,CUST100097,2024-06-30,749,6,2,0.079,0,0,0,0,362000,28600,300
CR500098,CUST100098,2024-06-30,614,7,0,0.516,3,0,0,0,75000,38700,209
CR500099,CUST100099,2024-06-30,688,2,1,0.075,0,0,0,0,95000,7100,21
CR500100,CUST100100,2024-06-30,576,4,3,0.589,0,0,0,0,258000,152000,152
CR500101,CUST100101,2024-06-30,601,4,0,0.571,2,0,0,0,380000,217000,242
CR500102,CUST100102,2024-06-30,644,1,2,0.423,4,0,0,0,169000,71500,315
CR500103,CUST100103,2024-06-30,395,3,1,0.325,2,2,0,1,74000,24000,91
CR500104,CUST100104,2024-06-30,610,3,1,0.949,1,0,0,0,165000,156600,72
CR500105,CUST100105,2024-06-30,825,3,2,0.057,0,0,0,0,233000,13300,480
CR500106,CUST100106,2024-06-30,628,6,1,0.157,1,0,0,0,107000,16800,247
CR500107,CUST100107,2024-06-30,646,2,1,0.107,3,0,0,0,247000,26400,108
CR500108,CUST100108,2024-06-30,623,8,0,0.712,2,0,1,0,441000,314000,84
CR500109,CUST100109,2024-06-30,708,5,2,0.451,1,0,0,0,378000,170500,332
