application_id,customer_id,application_date,loan_type,loan_purpose,requested_amount,loan_term_months,interest_rate,applicant_monthly_income,existing_emi,debt_to_income_ratio,collateral_flag,approval_status,approved_amount,decision_date,disbursed_flag,loan_default
APP800001,CUST101595,2022-12-20,Business,Equipment Purchase,6297000,84,15.25,48400,11600,2.769,0,Rejected,0,2022-12-27,0,
APP800002,CUST104584,2022-12-15,Home,Balance Transfer,6050000,24,10.07,149200,21700,2.017,1,Rejected,0,2022-12-31,0,
APP800003,CUST103833,2022-10-05,Business,Equipment Purchase,6441000,48,17.51,88500,13900,2.277,0,Rejected,0,2022-10-19,0,
APP800004,CUST103841,2022-08-29,Auto,Used Car,2498000,24,9.79,42300,14400,3.0,1,Rejected,0,2022-09-09,0,
APP800005,CUST100115,2024-05-22,Gold,Gold Loan,393000,24,12.86,47300,5200,0.505,1,Under Review,0,,0,
APP800006,CUST102505,2022-07-22,Personal,Wedding,838000,84,19.18,35200,4300,0.64,0,Approved,590000,2022-08-08,1,0
APP800007,CUST100805,2023-09-10,Home,Balance Transfer,3889000,180,9.1,72600,22400,0.856,1,Rejected,0,2023-09-30,0,
APP800008,CUST101394,2024-04-08,Auto,New Car,282000,24,10.43,38200,1800,0.39,1,Rejected,0,2024-04-11,0,
APP800009,CUST102299,2024-01-19,Gold,Gold Loan,137000,24,13.22,140600,15700,0.158,1,Approved,111000,2024-01-21,1,0
APP800010,CUST103569,2024-05-25,Personal,Travel,948000,36,19.76,33300,5700,1.225,0,Rejected,0,2024-06-12,0,
APP800011,CUST101028,2024-03-27,Education,Skill Certification,1041000,48,10.3,30800,6500,1.074,0,Approved,926000,2024-03-30,1,0
APP800012,CUST102620,2022-08-23,Auto,New Car,439000,60,12.96,17500,4600,0.833,1,Approved,316000,2022-08-28,1,1
APP800013,CUST102640,2022-08-22,Auto,Two Wheeler,2288000,48,10.55,11400,800,3.0,1,Rejected,0,2022-09-05,0,
