transaction_id,customer_id,transaction_date,transaction_type,category,channel,amount,balance_after
TXN1004290,CUST100532,2024-01-01,Debit,Dining,Net Banking,1446.39,3787.47
TXN1024738,CUST103082,2024-01-01,Credit,Salary,Debit Card,42535.79,133222.97
TXN1029304,CUST103653,2024-01-01,Debit,Travel,Net Banking,6418.24,149138.52
TXN1021143,CUST102626,2024-01-01,Debit,ATM Withdrawal,Credit Card,7319.62,122052.09
TXN1018214,CUST102262,2024-01-01,Debit,EMI,UPI,3950.95,21520.3
TXN1037813,CUST104718,2024-01-01,Debit,ATM Withdrawal,UPI,22015.5,297020.35
TXN1033995,CUST104238,2024-01-01,Credit,Salary,UPI,47137.14,110610.24
TXN1039027,CUST104867,2024-01-01,Credit,Transfer In,Debit Card,9259.29,58757.47
TXN1024785,CUST103086,2024-01-01,Credit,Refund,UPI,6571.36,56980.25
TXN1013881,CUST101725,2024-01-01,Debit,Dining,Debit Card,24320.97,125105.24
TXN1001730,CUST100224,2024-01-01,Debit,EMI,Branch,14660.94,178897.75
TXN1018319,CUST102273,2024-01-01,Credit,Salary,Net Banking,15672.52,50967.18
TXN1013803,CUST101715,2024-01-01,Debit,Utilities,Credit Card,4755.57,31993.36
TXN1006854,CUST100847,2024-01-01,Debit,Travel,UPI,20344.34,244956.98
TXN1021043,CUST102611,2024-01-01,Credit,Transfer In,UPI,19124.04,74067.86
TXN1006837,CUST100846,2024-01-01,Credit,Transfer In,ATM,3843.82,78276.58
TXN1032232,CUST104022,2024-01-01,Debit,EMI,Branch,295.17,45283.42
TXN1006992,CUST100867,2024-01-01,Debit,Dining,Debit Card,7425.77,61041.9
TXN1018325,CUST102274,2024-01-01,Credit,Salary,Net Banking,22061.2,71007.83
TXN1032309,CUST104033,2024-01-01,Debit,Dining,UPI,3151.3,10228.0
TXN1038371,CUST104787,2024-01-01,Debit,Insurance,Net Banking,3568.37,31489.25
TXN1018112,CUST102248,2024-01-01,Debit,Travel,Net Banking,1131.69,5282.06
TXN1025992,CUST103240,2024-01-01,Debit,Shopping,UPI,4261.33,46443.12
TXN1003246,CUST100404,2024-01-01,Debit,EMI,UPI,1870.65,129548.16
TXN1018122,CUST102249,2024-01-01,Debit,Travel,UPI,4481.35,37121.97
TXN1021253,CUST102641,2024-01-01,Credit,Salary,Debit Card,19863.01,34094.89
TXN1010786,CUST101344,2024-01-01,Debit,Utilities,Debit Card,3249.26,50893.08
TXN1033795,CUST104213,2024-01-01,Credit,Salary,ATM,26608.07,76541.82
TXN1037816,CUST104718,2024-01-01,Debit,Travel,UPI,42277.19,104038.23
TXN1030636,CUST103824,2024-01-01,Debit,Utilities,UPI,21540.83,195702.0
TXN1038736,CUST104830,2024-01-01,Debit,ATM Withdrawal,Branch,15454.74,84607.19
TXN1002344,CUST100297,2024-01-01,Credit,Transfer In,UPI,40907.09,275107.78
TXN1005239,CUST100650,2024-01-01,Debit,EMI,Debit Card,15223.45,65495.34
TXN1032336,CUST104037,2024-01-01,Debit,Travel,Debit Card,13745.42,28266.24
TXN1002026,CUST100258,2024-01-01,Debit,Travel,UPI,12365.76,79457.34
TXN1032311,CUST104033,2024-01-01,Credit,Refund,UPI,1289.27,6587.19
TXN1018160,CUST102253,2024-01-01,Credit,Salary,Net Banking,30203.35,60152.53
TXN1008489,CUST101054,2024-01-01,Debit,Utilities,UPI,6564.36,27955.07
TXN1021018,CUST102608,2024-01-01,Debit,ATM Withdrawal,Branch,17651.3,132390.13
TXN1008070,CUST101003,2024-01-01,Debit,EMI,UPI,5175.8,64313.83
TXN1029189,CUST103641,2024-01-01,Debit,EMI,UPI,3251.3,15372.57
TXN1001656,CUST100214,2024-01-01,Credit,Refund,ATM,9462.67,120142.83
TXN1018665,CUST102315,2024-01-01,Credit,Salary,Net Banking,38804.96,80009.51
TXN1030978,CUST103863,2024-01-01,Debit,Utilities,Debit Card,1126.12,63394.74
TXN1026749,CUST103335,2024-01-01,Debit,Dining,UPI,5482.89,43762.68
TXN1013338,CUST101656,2024-01-01,Debit,Dining,Branch,12405.24,100362.63
TXN1006288,CUST100781,2024-01-01,Debit,Investment,Credit Card,23573.98,159685.3
TXN1020611,CUST102560,2024-01-01,Debit,Shopping,Debit Card,19276.9,13448.18
TXN1009636,CUST101197,2024-01-01,Debit,Shopping,Branch,10105.89,39676.85
TXN1026853,CUST103349,2024-01-01,Debit,ATM Withdrawal,Net Banking,3103.21,37752.61
TXN1031024,CUST103869,2024-01-01,Debit,Shopping,Debit Card,4196.03,28240.11
TXN1026860,CUST103350,2024-01-01,Debit,Utilities,UPI,2666.88,25312.66
TXN1006257,CUST100778,2024-01-01,Debit,Investment,Credit Card,1345.4,169144.9
